t_ms;ax;ay;az;gx;gy;gz;mx;my;mz
3661000;0.010620;-0.018799;1.005737;-1.220703;-0.305176;1.953125;20.117187;41.772461;-51.000977
3661124;0.010620;-0.018921;1.004517;-0.976562;-0.183105;2.075195;20.434570;41.967773;-50.524902
3661200;0.012573;-0.021851;1.004517;-1.037598;-0.061035;2.075195;20.397949;41.784668;-50.305176
3661300;0.011963;-0.020386;1.005371;-0.976562;-0.305176;2.136230;19.970703;42.004395;-50.878906
3661400;0.010986;-0.019775;1.005981;-1.281738;-0.366211;2.075195;20.300293;41.381836;-50.390625
3661500;0.011230;-0.020020;1.005127;-1.098633;-0.244141;2.075195;20.239258;41.418457;-50.134277
3661600;0.011597;-0.020386;1.005493;-1.098633;-0.183105;2.014160;19.726562;41.760254;-50.610352
3661700;0.012207;-0.020020;1.005005;-1.098633;-0.305176;2.136230;20.031738;41.662598;-50.708008
3661800;0.011963;-0.019897;1.005127;-1.037598;-0.122070;2.075195;20.031738;42.065430;-50.122070
3661900;0.011841;-0.019897;1.005127;-1.037598;-0.427246;2.136230;19.995117;42.529297;-51.733398
3662000;0.011475;-0.019165;1.005493;-1.098633;-0.549316;2.075195;20.043945;41.882324;-51.098633
3662126;0.011230;-0.019409;1.006226;-1.098633;-0.122070;2.075195;20.544434;41.833496;-50.610352
3662200;0.011475;-0.020386;1.005493;-1.159668;-0.183105;2.075195;20.153809;41.699219;-50.988770
3662300;0.010864;-0.020508;1.005493;-0.976562;-0.305176;2.136230;20.471191;42.224121;-50.476074
3662400;0.011963;-0.019531;1.005005;-1.037598;-0.183105;2.075195;20.141602;41.918945;-50.915527
3662500;0.011108;-0.020142;1.005127;-1.281738;-0.244141;2.258301;20.422363;41.845703;-51.696777
3662600;0.011597;-0.019775;1.005127;-0.915527;-0.122070;2.075195;19.506836;41.955566;-50.720215
3662700;0.011475;-0.020630;1.005249;-1.098633;-0.122070;2.014160;20.178223;42.077637;-50.708008
3662800;0.011230;-0.020142;1.005127;-1.037598;0.183105;2.197266;19.812012;41.748047;-51.110840
3662900;0.010620;-0.020020;1.006226;-0.976562;-0.122070;2.258301;20.117187;41.662598;-50.671387
3663000;0.011963;-0.019287;1.005493;-1.037598;-0.183105;2.197266;20.812988;41.784668;-51.416016
